csv_id;parent_id;pagetitle;longtitle;published;deleted;createdon;publishedon;content;description;introtext;article;price;old_price;weight;vendor_id;made_in;new;popular;favorite;color;tags;size;images
347;27;Цифровая системная консоль PANASONIC KX-T7440;Цифровая системная консоль PANASONIC KX-T7440;1;0;1533502800;1534021200;<p>Консоль для цифровых системных телефонов Panasonic включает 66 программируемых кнопок прямого выбора абонента, 66 кнопок поля индикаторов занятости линии.</p>;Цифровая системная консоль PANASONIC KX-T7440;Цифровая системная консоль PANASONIC KX-T7440;1597292934;970;970;0;1;Россия;0;0;1;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/85-150-thickbox.jpg
348;29;Пеленальный столик Baby Prestige Simplicity;Пеленальный столик Baby Prestige Simplicity;1;0;1533502800;1534021200;<p>Пеленальный столик очень устойчив благодаря широкой основе. Ванночка анатомической формы с дренажной трубкой для слива воды. Имеется полочка для хранения банных принадлежностей. Занимает мало места. Высота - 98 см. Длина - 75 см. Ширина - 58 см.</p>;Пеленальный столик Baby Prestige Simplicity;Пеленальный столик Baby Prestige Simplicity;227433105;910,8;910,8;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/31-73-thickbox.jpg
349;29;Миксер Philips HR1565;Миксер Philips HR1565;1;0;1533502800;1534021200;<p>Легкое приготовление домашних дессертов Миксер с поворачивающейся чашей Приготовление изысканных домашних тортов, пирогов и выпечки для всей семьи еще никогда не было настолько простым. Этот 350 Вт миксер Philips с подставкой и чашей сделает за вас всю трудную работу, за минуты приготовив идеальные смеси. Ваш верный и надежный помощник на кухне.</p><p>Свободные руки при смешивании Вращающаяся чаша емкостью 3 л Подставка миксера</p><p>Идеальное тесто и десерты за несколько минут Мощный (350 Ватт) мотор Различные скоростные режимы и турборежим</p><p>Идеально взбивает и смешивает Насадки для взбивания и для теста в комплекте</p><p>Быстрая и простая чистка Удобная лопаточка</p><p>Удобство хранения Зажим для шнура</p><p>Общие характеристики Режимы скоростей: 3 Кнопка включения турборежима Зажим для шнура</p><p>Технические характеристики Мощность: 350 Вт Напряжение: 230-240 В Частота: 50/60 Гц Длина шнура: 1,50 м</p><p>Характеристики дизайна Материал, из которого изготовлен корпус: ABS Материал насадок для взбивания/для теста: Из нержавеющей стали</p><p>Принадлежности Насадки для взбивания Насадки для теста</p><p>Дата выпуска 2008-05-21</p>;Миксер Philips HR1565;Миксер Philips HR1565;1672810800;900,9;900,9;0;1;Россия;0;1;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/5-12-thickbox.jpg
350;36;Стайлер Braun Satin Hair 5 ESW;Стайлер Braun Satin Hair 5 ESW;1;0;1533502800;1534021200;<p>Стайлер для выпрямления волос. Подвижные керамические пластины NanoGlide поддерживают здоровье кутикулы. Точная регулировка температуры для бережной укладки (от 130°C до 200°C с шагом в 5°C). Формирователь локонов. Температурный дисплей. Автоматическое отключение через 30 минут.</p>;Стайлер Braun Satin Hair 5 ESW;Стайлер Braun Satin Hair 5 ESW;715993455;900;950;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/122-216-thickbox.jpg
351;43;Вязаное платье с нарядным воротничком;Вязаное платье с нарядным воротничком;1;0;1533502800;1534021200;<p>Это отличное вязаное платье с шикарным воротником</p><p>А сборка в области талии подчеркнёт все прелести вашей фигуры.</p>;Вязаное платье с нарядным воротничком;Вязаное платье с нарядным воротничком;402661365;900;950;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/146-272-thickbox.jpg
352;43;Спортивный костюм HOOD;Спортивный костюм HOOD;1;0;1533502800;1534021200;<p>100% хлопок</p>;Спортивный костюм HOOD;Спортивный костюм HOOD;264887605;900;950;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/149-284-thickbox.jpg
353;33;Гидромассажная ванна для ног BEURER FB25;Гидромассажная ванна для ног BEURER FB25;1;0;1533502800;1534021200;<p>Гидромассажная ванночка для ног с механическим управлением и тремя режимами работы. 16 встроенных магнитов. Вибрационный массаж, вихревой массаж. Дополнительная функция: поддержание температуры воды.</p>;Гидромассажная ванна для ног BEURER FB25;Гидромассажная ванна для ног BEURER FB25;1285920550;89;89;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/112-205-thickbox.jpg
354;43;Платье Зебра с оригинальным ремнем;Платье Зебра с оригинальным ремнем;1;0;1533502800;1534021200;<p>Красивое платье для работы и отдыха из плотного стрейч-трикотажа.</p><p>Высококачественный плотный трикотаж с добавлением эластана делает платье комфортным и удобным в носке.</p><p>Оригинальный ремень и необычная расцветка покажут Вашу индивидуальность и стиль.</p><p>Параметры модели: рост 176см, ОГ - 88см, ОТ -65 см, ОБ-94 см.</p>;Платье Зебра с оригинальным ремнем;Платье Зебра с оригинальным ремнем;997196776;85;85;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/145-268-thickbox.jpg
355;27;Газовая плита Ardo D662 RNS;Газовая плита Ardo D662 RNS;1;0;1533502800;1534021200;<p>Тип плиты газовая</p><p>Тип духовки газовая</p><p>Цвет чёрный</p><p>Высота, cм 85</p><p>Ширина, см 60</p><p>Глубина, cм 60</p><p>Количество конфорок (газ+электро) 4+0</p><p>Газ-контроль конфорок есть</p><p>Газ-контроль духовки и гриля есть</p><p>Тип решеток чугун</p><p>Гриль газовый</p><p>Вертел есть</p><p>Электроподжиг автоматический</p><p>Подсветка есть</p><p>Термостат есть</p><p>Двойное стекло дверей духовки есть</p><p>Объем духовки, л 56</p>;Газовая плита Ardo D662 RNS;Газовая плита Ardo D662 RNS;1315964705;840;0;0;1;Россия;1;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/19-40-thickbox.jpg
356;33;Фен-расческа Braun Steam & Style ASS 1000;Фен-расческа Braun Steam & Style ASS 1000;1;0;1533502800;1534021200;<p>Мощный стайлер с управлямой подачей пара. Мягкая укладка и длительный результат. Идеален для укладки влажных волос и корректировки прически на сухих волосах, для создания локонов и волн, создания объема. 3 ступени мощности потока воздуха. Насадка для создания крупных локонов и волн. Насадка для мелкой и средней завивки. Насадка для подъема волос и создания объема от самых корней. Цвет сиреневый матовый.</p>;Фен-расческа Braun Steam & Style ASS 1000;Фен-расческа Braun Steam & Style ASS 1000;1529306471;83;0;0;1;Россия;0;0;0;"[""Красны"",""Синий"",""Оранжевый"",""Сереневый"",""Голубой""]";"[""MODX"",""Популярный"",""Не популярный"",""Устаревший"",""Новая модель""]";"[""10см"",""200см""]";products/113-206-thickbox.jpg
